STEP,"AMOUNT, AUTOS",SCHEDULE,"PRICE, USD","RAISED, USD","PRICE INCREASE, %"
1,"25,000,000","25,000,000",0.0080000,"$200,000",0.0000%
2,"25,000,000","50,000,000",0.0080320,"$200,800",0.4000%
3,"25,000,000","75,000,000",0.0080641,"$201,603",0.3997%
4,"25,000,000","100,000,000",0.0080964,"$202,410",0.4005%
5,"25,000,000","125,000,000",0.0081288,"$203,220",0.4002%
6,"25,000,000","150,000,000",0.0081613,"$204,033",0.3998%
7,"25,000,000","175,000,000",0.0081939,"$204,848",0.3994%
8,"25,000,000","200,000,000",0.0082267,"$205,668",0.4003%
9,"25,000,000","225,000,000",0.0082596,"$206,490",0.3999%
10,"25,000,000","250,000,000",0.0082927,"$207,318",0.4007%
11,"25,000,000","275,000,000",0.0083258,"$208,145",0.3991%
12,"25,000,000","300,000,000",0.0083591,"$208,978",0.4000%
13,"25,000,000","325,000,000",0.0083926,"$209,815",0.4008%
14,"25,000,000","350,000,000",0.0084261,"$210,653",0.3992%
15,"25,000,000","375,000,000",0.0084598,"$211,495",0.3999%
16,"25,000,000","400,000,000",0.0084937,"$212,343",0.4007%
17,"25,000,000","425,000,000",0.0085277,"$213,193",0.4003%
18,"25,000,000","450,000,000",0.0085618,"$214,045",0.3999%
19,"25,000,000","475,000,000",0.0085960,"$214,900",0.3994%
20,"25,000,000","500,000,000",0.0086304,"$215,760",0.4002%
21,"25,000,000","525,000,000",0.0086649,"$216,623",0.3997%
22,"25,000,000","550,000,000",0.0086996,"$217,490",0.4005%
23,"25,000,000","575,000,000",0.0087344,"$218,360",0.4000%
24,"25,000,000","600,000,000",0.0087693,"$219,233",0.3996%
25,"25,000,000","625,000,000",0.0088044,"$220,110",0.4003%
26,"25,000,000","650,000,000",0.0088396,"$220,990",0.3998%
27,"25,000,000","675,000,000",0.0088750,"$221,875",0.4005%
28,"25,000,000","700,000,000",0.0089105,"$222,763",0.4000%
29,"25,000,000","725,000,000",0.0089461,"$223,653",0.3995%
30,"25,000,000","750,000,000",0.0089819,"$224,548",0.4002%
31,"25,000,000","775,000,000",0.0090178,"$225,445",0.3997%
32,"25,000,000","800,000,000",0.0090539,"$226,348",0.4003%
33,"25,000,000","825,000,000",0.0090901,"$227,253",0.3998%
34,"25,000,000","850,000,000",0.0091265,"$228,163",0.4004%
35,"25,000,000","875,000,000",0.0091630,"$229,075",0.3999%
36,"25,000,000","900,000,000",0.0091996,"$229,990",0.3994%
37,"25,000,000","925,000,000",0.0092364,"$230,910",0.4000%
38,"25,000,000","950,000,000",0.0092734,"$231,835",0.4006%
39,"25,000,000","975,000,000",0.0093105,"$232,763",0.4001%
40,"25,000,000","1,000,000,000",0.0093477,"$233,693",0.3995%
41,"25,000,000","1,025,000,000",0.0093851,"$234,628",0.4001%
42,"25,000,000","1,050,000,000",0.0094226,"$235,565",0.3996%
43,"25,000,000","1,075,000,000",0.0094603,"$236,508",0.4001%
44,"25,000,000","1,100,000,000",0.0094982,"$237,455",0.4006%
45,"25,000,000","1,125,000,000",0.0095362,"$238,405",0.4001%
46,"25,000,000","1,150,000,000",0.0095743,"$239,358",0.3995%
47,"25,000,000","1,175,000,000",0.0096126,"$240,315",0.4000%
48,"25,000,000","1,200,000,000",0.0096510,"$241,275",0.3995%
49,"25,000,000","1,225,000,000",0.0096897,"$242,243",0.4010%
50,"25,000,000","1,250,000,000",0.0097284,"$243,210",0.3994%
51,"25,000,000","1,275,000,000",0.0098000,"$245,000",0.7360%
52,"25,000,000","1,300,000,000",0.0098100,"$245,250",0.1020%
53,"25,000,000","1,325,000,000",0.0098200,"$245,500",0.1019%
54,"25,000,000","1,350,000,000",0.0098300,"$245,750",0.1018%
55,"25,000,000","1,375,000,000",0.0098400,"$246,000",0.1017%
56,"25,000,000","1,400,000,000",0.0098500,"$246,250",0.1016%
57,"25,000,000","1,425,000,000",0.0098600,"$246,500",0.1015%
58,"25,000,000","1,450,000,000",0.0098700,"$246,750",0.1014%
59,"25,000,000","1,475,000,000",0.0098800,"$247,000",0.1013%
60,"25,000,000","1,500,000,000",0.0098900,"$247,250",0.1012%
61,"25,000,000","1,525,000,000",0.0099000,"$247,500",0.1011%
62,"25,000,000","1,550,000,000",0.0099100,"$247,750",0.1010%
63,"25,000,000","1,575,000,000",0.0099200,"$248,000",0.1009%
64,"25,000,000","1,600,000,000",0.0099300,"$248,250",0.1008%
65,"25,000,000","1,625,000,000",0.0099400,"$248,500",0.1007%
66,"25,000,000","1,650,000,000",0.0099500,"$248,750",0.1006%
67,"25,000,000","1,675,000,000",0.0099600,"$249,000",0.1005%
68,"25,000,000","1,700,000,000",0.0099700,"$249,250",0.1004%
69,"25,000,000","1,725,000,000",0.0099800,"$249,500",0.1003%
70,"25,000,000","1,750,000,000",0.0099900,"$249,750",0.1002%
71,"25,000,000","1,775,000,000",0.0103000,"$257,500",3.1031%
72,"25,000,000","1,800,000,000",0.0106000,"$265,000",2.9126%
73,"25,000,000","1,825,000,000",0.0109000,"$272,500",2.8302%
74,"25,000,000","1,850,000,000",0.0112000,"$280,000",2.7523%
75,"25,000,000","1,875,000,000",0.0115000,"$287,500",2.6786%
76,"25,000,000","1,900,000,000",0.0117600,"$294,000",2.2609%
77,"25,000,000","1,925,000,000",0.0117700,"$294,250",0.0850%
78,"25,000,000","1,950,000,000",0.0117800,"$294,500",0.0850%
79,"25,000,000","1,975,000,000",0.0117900,"$294,750",0.0849%
80,"25,000,000","2,000,000,000",0.0118000,"$295,000",0.0848%
81,"25,000,000","2,025,000,000",0.0118100,"$295,250",0.0847%
82,"25,000,000","2,050,000,000",0.0118200,"$295,500",0.0847%
83,"25,000,000","2,075,000,000",0.0118300,"$295,750",0.0846%
84,"25,000,000","2,100,000,000",0.0118400,"$296,000",0.0845%
85,"25,000,000","2,125,000,000",0.0118500,"$296,250",0.0845%
86,"25,000,000","2,150,000,000",0.0118600,"$296,500",0.0844%
87,"25,000,000","2,175,000,000",0.0118700,"$296,750",0.0843%
88,"25,000,000","2,200,000,000",0.0118800,"$297,000",0.0842%
89,"25,000,000","2,225,000,000",0.0118900,"$297,250",0.0842%
90,"25,000,000","2,250,000,000",0.0119000,"$297,500",0.0841%
91,"25,000,000","2,275,000,000",0.0119100,"$297,750",0.0840%
92,"25,000,000","2,300,000,000",0.0119200,"$298,000",0.0840%
93,"25,000,000","2,325,000,000",0.0119300,"$298,250",0.0839%
94,"25,000,000","2,350,000,000",0.0119400,"$298,500",0.0838%
95,"25,000,000","2,375,000,000",0.0119500,"$298,750",0.0838%
96,"25,000,000","2,400,000,000",0.0119600,"$299,000",0.0837%
97,"25,000,000","2,425,000,000",0.0119700,"$299,250",0.0836%
98,"25,000,000","2,450,000,000",0.0119800,"$299,500",0.0835%
99,"25,000,000","2,475,000,000",0.0119900,"$299,750",0.0835%
100,"25,000,000","2,500,000,000",0.0119910,"$299,775",0.0083%
TOTAL,"2,500,000,000",,,"$24,780,563",49.8875%